SL,Desc,UH
pre[10] a1s,*present-indicative class10 active first-person singular,{kartari;law;u;eka;parasmEpadI;curAdi;#;}
pre[10] a1d,*present-indicative class10 active first-person dual,{kartari;law;u;dvi;parasmEpadI;curAdi;#;}
pre[10] a1p,*present-indicative class10 active first-person plural,{kartari;law;u;bahu;parasmEpadI;curAdi;#;}
pre[10] a2s,*present-indicative class10 active second-person singular,{kartari;law;ma;eka;parasmEpadI;curAdi;#;}
pre[10] a2d,*present-indicative class10 active second-person dual,{kartari;law;ma;dvi;parasmEpadI;curAdi;#;}
pre[10] a2p,*present-indicative class10 active second-person plural,{kartari;law;ma;bahu;parasmEpadI;curAdi;#;}
pre[10] a3s,*present-indicative class10 active third-person singular,{kartari;law;pra;eka;parasmEpadI;curAdi;#;}
pre[10] a3d,*present-indicative class10 active third-person dual,{kartari;law;pra;dvi;parasmEpadI;curAdi;#;}
pre[10] a3p,*present-indicative class10 active third-person plural,{kartari;law;pra;bahu;parasmEpadI;curAdi;#;}
pre[10] m1s,*present-indicative class10 middle first-person singular,{kartari;law;u;eka;AtmanepadI;curAdi;#;}
pre[10] m1d,*present-indicative class10 middle first-person dual,{kartari;law;u;dvi;AtmanepadI;curAdi;#;}
pre[10] m1p,*present-indicative class10 middle first-person plural,{kartari;law;u;bahu;AtmanepadI;curAdi;#;}
pre[10] m2s,*present-indicative class10 middle second-person singular,{kartari;law;ma;eka;AtmanepadI;curAdi;#;}
pre[10] m2d,*present-indicative class10 middle second-person dual,{kartari;law;ma;dvi;AtmanepadI;curAdi;#;}
pre[10] m2p,*present-indicative class10 middle second-person plural,{kartari;law;ma;bahu;AtmanepadI;curAdi;#;}
pre[10] m3s,*present-indicative class10 middle third-person singular,{kartari;law;pra;eka;AtmanepadI;curAdi;#;}
pre[10] m3d,*present-indicative class10 middle third-person dual,{kartari;law;pra;dvi;AtmanepadI;curAdi;#;}
pre[10] m3p,*present-indicative class10 middle third-person plural,{kartari;law;pra;bahu;AtmanepadI;curAdi;#;}
pre a1s,*present-indicative active first-person singular,{kartari;law;u;eka;parasmEpadI;;#;}
pre a1d,*present-indicative active first-person dual,{kartari;law;u;dvi;parasmEpadI;;#;}
pre a1p,*present-indicative active first-person plural,{kartari;law;u;bahu;parasmEpadI;;#;}
pre a2s,*present-indicative active second-person singular,{kartari;law;ma;eka;parasmEpadI;;#;}
pre a2d,*present-indicative active second-person dual,{kartari;law;ma;dvi;parasmEpadI;;#;}
pre a2p,*present-indicative active second-person plural,{kartari;law;ma;bahu;parasmEpadI;;#;}
pre a3s,*present-indicative active third-person singular,{kartari;law;pra;eka;parasmEpadI;;#;}
pre a3d,*present-indicative active third-person dual,{kartari;law;pra;dvi;parasmEpadI;;#;}
pre a3p,*present-indicative active third-person plural,{kartari;law;pra;bahu;parasmEpadI;;#;}
pre m1s,*present-indicative middle first-person singular,{kartari;law;u;eka;AtmanepadI;;#;}
pre m1d,*present-indicative middle first-person dual,{kartari;law;u;dvi;AtmanepadI;;#;}
pre m1p,*present-indicative middle first-person plural,{kartari;law;u;bahu;AtmanepadI;;#;}
pre m2s,*present-indicative middle second-person singular,{kartari;law;ma;eka;AtmanepadI;;#;}
pre m2d,*present-indicative middle second-person dual,{kartari;law;ma;dvi;AtmanepadI;;#;}
pre m2p,*present-indicative middle second-person plural,{kartari;law;ma;bahu;AtmanepadI;;#;}
pre m3s,*present-indicative middle third-person singular,{kartari;law;pra;eka;AtmanepadI;;#;}
pre m3d,*present-indicative middle third-person dual,{kartari;law;pra;dvi;AtmanepadI;;#;}
pre m3p,*present-indicative middle third-person plural,{kartari;law;pra;bahu;AtmanepadI;;#;}
pre p1s,*present-indicative passive first-person singular,{karmaRi;law;u;eka;AtmanepadI;;#;}
pre p1d,*present-indicative passive first-person dual,{karmaRi;law;u;dvi;AtmanepadI;;#;}
pre p1p,*present-indicative passive first-person plural,{karmaRi;law;u;bahu;AtmanepadI;;#;}
pre p2s,*present-indicative passive second-person singular,{karmaRi;law;ma;eka;AtmanepadI;;#;}
pre p2d,*present-indicative passive second-person dual,{karmaRi;law;ma;dvi;AtmanepadI;;#;}
pre p2p,*present-indicative passive second-person plural,{karmaRi;law;ma;bahu;AtmanepadI;;#;}
pre p3s,*present-indicative passive third-person singular,{karmaRi;law;pra;eka;AtmanepadI;;#;}
pre p3d,*present-indicative passive third-person dual,{karmaRi;law;pra;dvi;AtmanepadI;;#;}
pre p3p,*present-indicative passive third-person plural,{karmaRi;law;pra;bahu;AtmanepadI;;#;}
ipf[1] a1s,*imperfect-indicative class1 active first-person singular,{kartari;laN;u;eka;parasmEpadI;BvAdi;#;}
ipf[1] a1d,*imperfect-indicative class1 active first-person dual,{kartari;laN;u;dvi;parasmEpadI;BvAdi;#;}
ipf[1] a1p,*imperfect-indicative class1 active first-person plural,{kartari;laN;u;bahu;parasmEpadI;BvAdi;#;}
ipf[1] a2s,*imperfect-indicative class1 active second-person singular,{kartari;laN;ma;eka;parasmEpadI;BvAdi;#;}
ipf[1] a2d,*imperfect-indicative class1 active second-person dual,{kartari;laN;ma;dvi;parasmEpadI;BvAdi;#;}
ipf[1] a2p,*imperfect-indicative class1 active second-person plural,{kartari;laN;ma;bahu;parasmEpadI;BvAdi;#;}
ipf[1] a3s,*imperfect-indicative class1 active third-person singular,{kartari;laN;pra;eka;parasmEpadI;BvAdi;#;}
ipf[1] a3d,*imperfect-indicative class1 active third-person dual,{kartari;laN;pra;dvi;parasmEpadI;BvAdi;#;}
ipf[1] a3p,*imperfect-indicative class1 active third-person plural,{kartari;laN;pra;bahu;parasmEpadI;BvAdi;#;}
ipf[1] m1s,*imperfect-indicative class1 middle first-person singular,{kartari;laN;u;eka;AtmanepadI;BvAdi;#;}
ipf[1] m1d,*imperfect-indicative class1 middle first-person dual,{kartari;laN;u;dvi;AtmanepadI;BvAdi;#;}
ipf[1] m1p,*imperfect-indicative class1 middle first-person plural,{kartari;laN;u;bahu;AtmanepadI;BvAdi;#;}
ipf[1] m2s,*imperfect-indicative class1 middle second-person singular,{kartari;laN;ma;eka;AtmanepadI;BvAdi;#;}
ipf[1] m2d,*imperfect-indicative class1 middle second-person dual,{kartari;laN;ma;dvi;AtmanepadI;BvAdi;#;}
ipf[1] m2p,*imperfect-indicative class1 middle second-person plural,{kartari;laN;ma;bahu;AtmanepadI;BvAdi;#;}
ipf[1] m3s,*imperfect-indicative class1 middle third-person singular,{kartari;laN;pra;eka;AtmanepadI;BvAdi;#;}
ipf[1] m3d,*imperfect-indicative class1 middle third-person dual,{kartari;laN;pra;dvi;AtmanepadI;BvAdi;#;}
ipf[1] m3p,*imperfect-indicative class1 middle third-person plural,{kartari;laN;pra;bahu;AtmanepadI;BvAdi;#;}
ipf[2] a1s,*imperfect-indicative class2 active first-person singular,{kartari;laN;u;eka;parasmEpadI;adAdi;#;}
ipf[2] a1d,*imperfect-indicative class2 active first-person dual,{kartari;laN;u;dvi;parasmEpadI;adAdi;#;}
ipf[2] a1p,*imperfect-indicative class2 active first-person plural,{kartari;laN;u;bahu;parasmEpadI;adAdi;#;}
ipf[2] a2s,*imperfect-indicative class2 active second-person singular,{kartari;laN;ma;eka;parasmEpadI;adAdi;#;}
ipf[2] a2d,*imperfect-indicative class2 active second-person dual,{kartari;laN;ma;dvi;parasmEpadI;adAdi;#;}
ipf[2] a2p,*imperfect-indicative class2 active second-person plural,{kartari;laN;ma;bahu;parasmEpadI;adAdi;#;}
ipf[2] a3s,*imperfect-indicative class2 active third-person singular,{kartari;laN;pra;eka;parasmEpadI;adAdi;#;}
ipf[2] a3d,*imperfect-indicative class2 active third-person dual,{kartari;laN;pra;dvi;parasmEpadI;adAdi;#;}
ipf[2] a3p,*imperfect-indicative class2 active third-person plural,{kartari;laN;pra;bahu;parasmEpadI;adAdi;#;}
ipf[2] m1s,*imperfect-indicative class2 middle first-person singular,{kartari;laN;u;eka;AtmanepadI;adAdi;#;}
ipf[2] m1d,*imperfect-indicative class2 middle first-person dual,{kartari;laN;u;dvi;AtmanepadI;adAdi;#;}
ipf[2] m1p,*imperfect-indicative class2 middle first-person plural,{kartari;laN;u;bahu;AtmanepadI;adAdi;#;}
ipf[2] m2s,*imperfect-indicative class2 middle second-person singular,{kartari;laN;ma;eka;AtmanepadI;adAdi;#;}
ipf[2] m2d,*imperfect-indicative class2 middle second-person dual,{kartari;laN;ma;dvi;AtmanepadI;adAdi;#;}
ipf[2] m2p,*imperfect-indicative class2 middle second-person plural,{kartari;laN;ma;bahu;AtmanepadI;adAdi;#;}
ipf[2] m3s,*imperfect-indicative class2 middle third-person singular,{kartari;laN;pra;eka;AtmanepadI;adAdi;#;}
ipf[2] m3d,*imperfect-indicative class2 middle third-person dual,{kartari;laN;pra;dvi;AtmanepadI;adAdi;#;}
ipf[2] m3p,*imperfect-indicative class2 middle third-person plural,{kartari;laN;pra;bahu;AtmanepadI;adAdi;#;}
ipf[3] a1s,*imperfect-indicative class3 active first-person singular,{kartari;laN;u;eka;parasmEpadI;juhotyAdi;#;}
ipf[3] a1d,*imperfect-indicative class3 active first-person dual,{kartari;laN;u;dvi;parasmEpadI;juhotyAdi;#;}
ipf[3] a1p,*imperfect-indicative class3 active first-person plural,{kartari;laN;u;bahu;parasmEpadI;juhotyAdi;#;}
ipf[3] a2s,*imperfect-indicative class3 active second-person singular,{kartari;laN;ma;eka;parasmEpadI;juhotyAdi;#;}
